Etapa,Area,Trimestre,SDA_ID,SDA_Titulo,Criterio_Codigo,Criterio_Descriptor,Competencia_Codigo,Competencia_Descriptor,Actividad_ID,Actividad_Titulo,Criterios_Vinculados,Fecha,Sesion_Numero,Sesion_Titulo,Descripcion_Sesion
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,6_DEE_CE2_C3,Reconocer y comprender las propias emociones,CE2,Desarrollo personal y emocional,,,,,,,
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,6_DEE_CE3_C5,Explorar el entorno natural,CE3,Observación del entorno,W1_SDA6_DEE,Conocemos el cine,,2026-04-07,1,¿Qué es el cine?,Presentar qué es el cine mediante imágenes y vídeos cortos. Preguntar a los niños qué películas conocen y comentarlas en asamblea.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W1_SDA6_DEE,Conocemos el cine,,2026-04-08,2,Vemos cortos animados,Proyectar un corto animado apropiado para la edad. Tras la visualización dialogar sobre los personajes y el entorno que aparece.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W1_SDA6_DEE,Conocemos el cine,,2026-04-09,3,Dibujamos nuestros personajes favoritos,Cada alumno dibuja su personaje favorito de cine o cuento. Luego lo presenta al grupo describiendo dónde vive y cómo es su entorno.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W1_SDA6_DEE,Conocemos el cine,,2026-04-10,4,Contamos nuestra película favorita,En asamblea cada niño cuenta brevemente su película o cuento favorito. Identificar entre todos los escenarios y entornos que aparecen.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W2_SDA6_DEE,Exploramos el teatro,,2026-04-13,1,¿Qué es el teatro?,Explicar qué es el teatro con fotos y vídeos. Comparar con el cine: ¿en qué se parecen y en qué se diferencian? Explorar el espacio del aula como escenario.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W2_SDA6_DEE,Exploramos el teatro,,2026-04-14,2,El escenario y sus partes,Transformar el aula en un pequeño teatro. Identificar el escenario las butacas y el telón. Los niños exploran libremente el espacio.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W2_SDA6_DEE,Exploramos el teatro,,2026-04-15,3,Los disfraces y el maquillaje,Explorar una caja de disfraces y materiales de caracterización. Cada niño elige un disfraz y describe qué personaje es y en qué entorno vive.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W2_SDA6_DEE,Exploramos el teatro,,2026-04-16,4,Juegos de expresión corporal,Juegos de imitación de animales y personajes del entorno natural. El grupo adivina qué animal o personaje representa cada compañero.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W2_SDA6_DEE,Exploramos el teatro,,2026-04-17,5,Improvisamos pequeñas escenas,En parejas o tríos improvisar una escena corta ambientada en un entorno natural (bosque playa desierto). El resto del grupo adivina dónde transcurre.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W3_SDA6_DEE,Somos actores,,2026-04-20,1,Nos expresamos con el cuerpo,Ejercicios de expresión corporal: imitar el movimiento del viento el agua los árboles. Reflexionar sobre cómo el entorno natural se puede expresar con el cuerpo.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W3_SDA6_DEE,Somos actores,,2026-04-21,2,Jugamos a ser diferentes personajes,Cada niño elige un animal o elemento del entorno (nube río árbol) y lo representa. El grupo debate sobre las características de cada elemento.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W3_SDA6_DEE,Somos actores,,2026-04-22,3,Ensayamos con marionetas,Crear marionetas sencillas con materiales reciclados. Representar una pequeña historia ambientada en la naturaleza con las marionetas.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W3_SDA6_DEE,Somos actores,,2026-04-23,4,Creamos nuestros personajes,Cada niño diseña su personaje para la obra: de qué entorno viene qué características tiene. Dibujar y describir el personaje al grupo.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W3_SDA6_DEE,Somos actores,,2026-04-24,5,Aprendemos el guión,Leer juntos el guión de la obra. Identificar los escenarios y entornos que aparecen. Asignar los personajes a cada alumno.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W4_SDA6_DEE,Creamos nuestra obra,,2026-04-27,1,Elegimos la historia,En asamblea decidir entre todos la historia de la obra: personajes entorno y argumento. Registrar las ideas en un mural colectivo.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W4_SDA6_DEE,Creamos nuestra obra,,2026-04-28,2,Preparamos los decorados,Crear los decorados con materiales reciclados y naturales (hojas piedras ramas). Cada grupo se encarga de un escenario de la obra.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W4_SDA6_DEE,Creamos nuestra obra,,2026-04-29,3,Diseñamos el cartel,Entre todos diseñar el cartel de la obra. Incluir el título los personajes y el escenario principal. Decorarlo con elementos del entorno natural.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W4_SDA6_DEE,Creamos nuestra obra,,2026-04-30,4,Probamos los disfraces,Cada alumno prueba su disfraz de personaje. Describir a los compañeros cómo va vestido su personaje y qué entorno habita.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W5_SDA6_DEE,Ensayamos,,2026-05-04,1,Primer ensayo completo,Primer ensayo de la obra de principio a fin. Identificar qué partes funcionan bien y cuáles hay que mejorar. Revisión colectiva.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W5_SDA6_DEE,Ensayamos,,2026-05-05,2,Ensayamos las canciones,Practicar las canciones o sonidos de la obra. Relacionar cada sonido con un elemento del entorno (lluvia viento animales).
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W5_SDA6_DEE,Ensayamos,,2026-05-06,3,Practicamos los movimientos,Ensayar los movimientos de cada personaje en su escenario. Prestar atención a los desplazamientos por el espacio escénico.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W5_SDA6_DEE,Ensayamos,,2026-05-07,4,Ensayo con el vestuario,Ensayar la obra con los disfraces y decorados completos. Comprobar que cada elemento del escenario está en su lugar.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W5_SDA6_DEE,Ensayamos,,2026-05-08,5,Ensayo general,Ensayo general completo con público (otro grupo del colegio o personal del centro). Recoger impresiones y hacer los últimos ajustes.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W6_SDA6_DEE,Preparamos la actuación,,2026-05-11,1,Últimos retoques al guión,Revisar el guión con el grupo. Hacer los últimos cambios y asegurarse de que todos conocen su papel y su posición en el escenario.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W6_SDA6_DEE,Preparamos la actuación,,2026-05-12,2,Decoramos el escenario,Colocar y repasar los decorados definitivos. Comprobar que el escenario refleja correctamente el entorno de la historia.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W6_SDA6_DEE,Preparamos la actuación,,2026-05-13,3,Invitamos a las familias,Escribir y decorar las invitaciones para las familias. Hablar sobre qué van a ver y cuál es el entorno de la historia.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W6_SDA6_DEE,Preparamos la actuación,,2026-05-14,4,Ensayo final,Último ensayo completo con todo el material. Resolver dudas de última hora y reforzar la confianza del grupo.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W6_SDA6_DEE,Preparamos la actuación,,2026-05-15,5,Recordamos nuestra obra,Repaso oral de la historia: personajes escenarios y argumento. Cada alumno explica qué papel tiene y en qué parte del entorno aparece.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W7_SDA6_DEE,¡Gran actuación!,,2026-05-18,1,Preparamos el escenario para el gran día,Colocar decorados y objetos de atrezo en su lugar definitivo. Repasar brevemente los movimientos y entradas de cada personaje.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA6_DEE,Cine y teatro,,,,,W7_SDA6_DEE,¡Gran actuación!,,2026-05-19,2,¡Actuamos!,Representación de la obra ante las familias u otros grupos. Celebrar el trabajo realizado y reflexionar sobre lo aprendido del entorno natural a través del teatro.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,7_DEE_CE3_C5,Explorar el entorno natural,CE3,Observación del entorno,W1_SDA7_DEE,El sistema solar,,2026-05-20,1,¿Qué hay en el universo?,Asamblea inicial: ¿qué saben los niños del universo? Recoger ideas en un mural. Mostrar imágenes del espacio y hablar sobre lo que se ve.
